Kurbelwinkel	dQ1	dQ2	IntQ1	IntQ2	
Grad	%/Grd		%		
-154,00	0,3368		16,21		
-153,00	-0,0522		16,35		
-152,00	-0,2479		16,20		
-151,00	-0,1837		15,98		
-150,00	-0,0572		15,86		
-149,00	-0,0589		15,81		
-148,00	-0,0616		15,75		
-147,00	0,0002		15,72		
-146,00	-0,0022		15,71		
-145,00	-0,0671		15,68		
-144,00	0,1790		15,74		
-143,00	0,1768		15,91		
-142,00	-0,0766		15,96		
-141,00	0,1690		16,01		
-140,00	-0,1415		16,02		
-139,00	-0,2686		15,82		
-138,00	0,0985		15,73		
-137,00	-0,0258		15,77		
-136,00	-0,0299		15,74		
-135,00	-0,0317		15,71		
-134,00	0,0251		15,71		
-133,00	-0,2743		15,58		
-132,00	-0,2195		15,34		
-131,00	0,2542		15,35		
-130,00	0,5991		15,78		
-129,00	0,2432		16,20		
-128,00	-0,7615		15,94		
-127,00	-0,5218		15,30		
-126,00	0,2879		15,18		
-125,00	0,1127		15,38		
-124,00	0,1605		15,52		
-123,00	-0,0094		15,60		
-122,00	-0,5813		15,30		
-121,00	-0,0172		15,00		
-120,00	0,4218		15,20		
-119,00	-0,0792		15,38		
-118,00	-0,0885		15,29		
-117,00	0,4000		15,45		
-116,00	0,0132		15,65		
-115,00	-0,0484		15,64		
-114,00	0,2679		15,75		
-113,00	-0,1085		15,83		
-112,00	-0,4316		15,56		
-111,00	-0,1671		15,26		
-110,00	-0,1159		15,11		
-109,00	0,0839		15,10		
-108,00	0,0284		15,15		
-107,00	-0,4314		14,95		
-106,00	-0,1322		14,67		
-105,00	-0,0318		14,59		
-104,00	0,0079		14,58		
-103,00	0,1503		14,66		
-102,00	-0,1475		14,66		
-101,00	-0,0571		14,56		
-100,00	-0,0140		14,52		
-99,00	-0,2519		14,39		
-98,00	-0,2092		14,16		
-97,00	-0,2989		13,90		
-96,00	0,1896		13,85		
-95,00	0,2328		14,06		
-94,00	-0,0961		14,13		
-93,00	0,2934		14,23		
-92,00	0,1499		14,45		
-91,00	-0,0756		14,48		
-90,00	0,0845		14,49		
-89,00	-0,0058		14,53		
-88,00	-0,2659		14,39		
-87,00	-0,1436		14,19		
-86,00	0,0512		14,14		
-85,00	0,1221		14,23		
-84,00	0,0298		14,30		
-83,00	-0,0589		14,29		
-82,00	-0,0298		14,25		
-81,00	0,0748		14,27		
-80,00	-0,0125		14,30		
-79,00	-0,1333		14,23		
-78,00	-0,1055		14,11		
-77,00	0,1006		14,10		
-76,00	0,0535		14,18		
-75,00	0,0351		14,23		
-74,00	-0,0090		14,24		
-73,00	-0,0928		14,19		
-72,00	-0,0344		14,12		
-71,00	0,1467		14,18		
-70,00	0,0369		14,27		
-69,00	0,0128		14,30		
-68,00	0,0069		14,31		
-67,00	-0,0476		14,29		
-66,00	0,0352		14,28		
-65,00	-0,0750		14,26		
-64,00	-0,1144		14,17		
-63,00	-0,1288		14,04		
-62,00	-0,0264		13,97		
-61,00	-0,0169		13,94		
-60,00	0,0734		13,97		
-59,00	-0,0496		13,98		
-58,00	-0,0698		13,93		
-57,00	0,0177		13,90		
-56,00	-0,0766		13,87		
-55,00	-0,1425		13,76		
-54,00	-0,0382		13,67		
-53,00	0,0433		13,67		
-52,00	0,0641		13,73		
-51,00	-0,0263		13,75		
-50,00	-0,1167		13,67		
-49,00	0,0417		13,64		
-48,00	0,0010		13,66		
-47,00	0,0163		13,67		
-46,00	-0,0038		13,67		
-45,00	-0,0096		13,67		
-44,00	0,0508		13,69		
-43,00	0,0209		13,72		
-42,00	0,0361		13,75		
-41,00	-0,0810		13,73		
-40,00	-0,0313		13,67		
-39,00	0,0713		13,69		
-38,00	0,0942		13,77		
-37,00	-0,0469		13,80		
-36,00	-0,1360		13,71		
-35,00	0,1192		13,70		
-34,00	0,1090		13,81		
-33,00	0,0204		13,88		
-32,00	-0,0433		13,87		
-31,00	-0,0694		13,81		
-30,00	0,0887		13,82		
-29,00	0,0146		13,87		
-28,00	-0,0984		13,83		
-27,00	0,1427		13,85		
-26,00	0,0829		13,96		
-25,00	-0,0552		13,98		
-24,00	-0,0018		13,95		
-23,00	-0,0044		13,95		
-22,00	0,0851		13,99		
-21,00	-0,0055		14,03		
-20,00	-0,0080		14,02		
-19,00	0,1090		14,07		
-18,00	0,0650		14,16		
-17,00	-0,0216		14,18		
-16,00	0,0928		14,21		
-15,00	0,1358		14,33		
-14,00	0,1496		14,47		
-13,00	0,1917		14,64		
-12,00	0,1760		14,83		
-11,00	0,2572		15,04		
-10,00	0,3270		15,33		
-9,00	0,3588		15,68		
-8,00	0,4066		16,06		
-7,00	0,4678		16,50		
-6,00	0,5797		17,02		
-5,00	0,6772		17,65		
-4,00	0,7188		18,35		
-3,00	0,7753		19,09		
-2,00	0,8969		19,93		
-1,00	0,9446		20,85		
0,00	1,0379		21,84		
1,00	1,1869		22,95		
2,00	1,2329		24,16		
3,00	1,3148		25,44		
4,00	1,4242		26,81		
5,00	1,4358		28,24		
6,00	1,4931		29,70		
7,00	1,5863		31,24		
8,00	1,5742		32,82		
9,00	1,5498		34,38		
10,00	1,6633		35,99		
11,00	1,8023		37,72		
12,00	1,8646		39,56		
13,00	2,0011		41,49		
14,00	2,0686		43,53		
15,00	2,0970		45,61		
16,00	2,2421		47,78		
17,00	2,2286		50,01		
18,00	2,2540		52,25		
19,00	2,4405		54,60		
20,00	2,3691		57,01		
21,00	2,3038		59,34		
22,00	2,4237		61,71		
23,00	2,4479		64,14		
24,00	2,5034		66,62		
25,00	2,6195		69,18		
26,00	2,4885		71,73		
27,00	2,4929		74,22		
28,00	2,5914		76,77		
29,00	2,3812		79,25		
30,00	2,1843		81,54		
31,00	2,2753		83,76		
32,00	2,1068		85,96		
33,00	1,8164		87,92		
34,00	1,6594		89,66		
35,00	1,3386		91,15		
36,00	1,2526		92,45		
37,00	1,2187		93,69		
38,00	0,8531		94,72		
39,00	0,7089		95,50		
40,00	0,8093		96,26		
41,00	0,6792		97,01		
42,00	0,5142		97,60		
43,00	0,5113		98,12		
44,00	0,4640		98,60		
45,00	0,2562		98,96		
46,00	0,1897		99,19		
47,00	0,3871		99,47		
48,00	0,2488		99,79		
49,00	-0,0655		99,88		
50,00	0,0160		99,86		
51,00	0,1381		99,94		
52,00	-0,0106		100,00		
53,00	-0,1590		99,92		
54,00	-0,1865		99,74		
55,00	-0,0118		99,64		
56,00	-0,1243		99,58		
57,00	-0,1772		99,42		
58,00	0,0451		99,36		
59,00	-0,1651		99,30		
60,00	-0,2126		99,11		
61,00	-0,0803		98,96		
62,00	0,5577		99,20		
63,00	-0,0251		99,47		
64,00	-0,7190		99,10		
65,00	0,0207		98,75		
66,00	-0,0230		98,75		
67,00	-0,2301		98,62		
68,00	-0,0992		98,45		
69,00	0,0576		98,43		
70,00	-0,1130		98,41		
71,00	-0,1873		98,26		
72,00	0,0225		98,17		
73,00	-0,0471		98,16		
74,00	-0,1146		98,08		
75,00	-0,1836		97,93		
76,00	-0,1559		97,76		
77,00	-0,0701		97,65		
78,00	-1,3656		96,93		
79,00	-0,3505		96,07		
80,00	1,1201		96,46		
81,00	0,1591		97,10		
82,00	-0,2122		97,07		
83,00	-0,4269		96,75		
84,00	-0,0513		96,51		
85,00	-0,1077		96,43		
86,00	-0,2070		96,28		
87,00	0,1318		96,24		
88,00	-0,0809		96,26		
89,00	-0,2389		96,10		
90,00	0,0635		96,02		
91,00	-0,0416		96,03		
92,00	-0,1351		95,94		
93,00	-0,0609		95,84		
94,00	-0,0416		95,79		
95,00	-0,0210		95,76		
96,00	-0,1760		95,66		
97,00	-0,0262		95,56		
98,00	-0,1295		95,48		
99,00	0,0263		95,43		
100,00	0,1243		95,50		
101,00	0,0306		95,58		
102,00	-0,2016		95,50		
103,00	-0,2959		95,25		
104,00	-0,0011		95,10		
105,00	-0,0273		95,08		
106,00	-0,1926		94,97		
107,00	-0,0858		94,84		
108,00	-0,1135		94,74		
109,00	-0,2813		94,54		
110,00	-0,1727		94,31		
111,00	-0,1263		94,16		
112,00	0,1975		94,20		
113,00	0,1040		94,35		
114,00	-0,0536		94,37		
115,00	0,0663		94,38		
116,00	0,1890		94,51		
117,00	-0,1230		94,54		
118,00	0,0066		94,48		
119,00	0,0529		94,51		
120,00	-0,2587		94,41		
121,00	0,0921		94,33		
122,00	-0,2290		94,26		
123,00	-0,3981		93,94		
124,00	-0,0406		93,72		
125,00	0,0179		93,71		
126,00	-0,2300		93,61		
127,00	-0,8634		93,06		
128,00	-0,4198		92,42		
