Volumen	P_ZYL1	P_ZYL2	
100,28	2,690		
98,25	2,740		
96,24	2,832		
94,26	2,911		
92,29	3,018		
90,34	3,075		
88,42	3,160		
86,52	3,274		
84,64	3,353		
82,78	3,481		
80,95	3,559		
79,15	3,695		
77,38	3,802		
75,63	3,937		
73,91	4,058		
72,22	4,158		
70,56	4,308		
68,93	4,457		
67,33	4,628		
65,77	4,728		
64,24	4,871		
62,74	5,092		
61,28	5,241		
59,85	5,434		
58,46	5,562		
57,11	5,754		
55,80	5,968		
54,52	6,132		
53,28	6,296		
52,08	6,595		
50,92	6,738		
49,81	6,973		
48,73	7,144		
47,70	7,387		
46,70	7,615		
45,75	7,807		
44,85	8,035		
43,99	8,299		
43,17	8,498		
42,39	8,705		
41,66	8,969		
40,98	9,197		
40,34	9,468		
39,75	9,710		
39,20	9,959		
38,71	10,244		
38,25	10,522		
37,85	10,807		
37,49	11,100		
37,18	11,406		
36,92	11,748		
36,70	12,097		
36,53	12,432		
36,41	12,782		
36,34	13,166		
36,32	13,509		
36,34	13,908		
36,41	14,300		
36,53	14,677		
36,70	15,069		
36,92	15,454		
37,18	15,782		
37,49	16,138		
37,85	16,452		
38,25	16,730		
38,71	16,958		
39,20	17,229		
39,75	17,464		
40,34	17,699		
40,98	17,941		
41,66	18,134		
42,39	18,326		
43,17	18,526		
43,99	18,633		
44,85	18,775		
45,75	18,911		
46,70	18,953		
47,70	18,996		
48,73	19,039		
49,81	19,046		
50,92	19,067		
52,08	19,067		
53,28	18,989		
54,52	18,961		
55,80	18,889		
57,11	18,747		
58,46	18,576		
59,85	18,447		
61,28	18,212		
62,74	17,977		
64,24	17,685		
65,77	17,357		
67,33	17,051		
68,93	16,723		
70,56	16,324		
72,22	15,974		
73,91	15,625		
75,63	15,262		
77,38	14,891		
79,15	14,549		
80,95	14,193		
82,78	13,822		
84,64	13,473		
86,52	13,174		
88,42	12,817		
90,34	12,468		
92,29	12,154		
94,26	11,855		
96,24	11,534		
98,25	11,228		
100,28	10,921		
102,32	10,672		
104,37	10,366		
106,45	10,123		
108,54	9,881		
110,64	9,617		
112,75	9,382		
114,87	9,161		
117,01	9,054		
119,16	8,748		
121,31	8,534		
123,47	8,370		
125,64	8,163		
127,82	7,978		
130,00	7,807		
132,18	7,657		
134,37	7,472		
136,56	7,322		
138,75	7,180		
140,95	7,030		
143,14	6,888		
145,33	6,738		
147,52	6,610		
149,71	6,481		
151,90	6,182		
154,08	6,203		
156,25	6,118		
158,42	6,011		
160,58	5,883		
162,74	5,754		
164,89	5,683		
167,03	5,555		
169,16	5,477		
171,28	5,398		
173,39	5,298		
175,48	5,206		
177,57	5,149		
179,64	5,049		
181,70	4,985		
183,75	4,899		
185,78	4,842		
187,80	4,764		
189,80	4,693		
191,78	4,636		
193,75	4,557		
195,70	4,522		
197,63	4,457		
199,55	4,415		
201,44	4,329		
203,32	4,279		
205,18	4,229		
207,01	4,179		
208,83	4,115		
210,63	4,080		
212,41	4,016		
214,16	3,966		
215,89	3,916		
217,61	3,873		
219,30	3,859		
220,96	3,809		
222,61	3,780		
224,23	3,745		
225,83	3,730		
227,40	3,666		
228,95	3,666		
230,48	3,609		
231,99	3,581		
233,46	3,559		
234,92	3,502		
236,35	3,467		
237,76	3,445		
239,14	3,417		
240,49	3,374		
241,83	3,289		
243,13	3,289		
244,41	3,289		
245,67	3,239		
246,90	3,217		
248,11	3,182		
249,29	3,139		
250,44	3,110		
251,57	3,082		
252,67	3,046		
253,75	3,011		
254,80	3,004		
255,83	2,975		
256,83	2,947		
257,81	2,932		
258,76	2,939		
259,68	2,904		
260,58	2,861		
261,45	2,832		
262,30	2,804		
263,12	2,775		
263,92	2,740		
264,69	2,726		
265,43	2,661		
266,15	2,697		
266,85	2,640		
267,52	2,590		
268,16	2,562		
268,78	2,540		
269,37	2,505		
269,93	2,455		
270,47	2,426		
270,99	2,426		
271,48	2,334		
271,94	2,319		
272,38	2,284		
272,80	2,227		
273,19	2,191		
273,55	2,170		
273,89	2,134		
274,20	2,106		
274,49	2,034		
274,76	1,977		
274,99	1,977		
275,21	1,892		
275,39	1,892		
275,56	1,870		
275,69	1,856		
275,81	1,735		
275,90	1,721		
275,96	1,678		
276,00	1,585		
276,01	1,635		
276,00	1,543		
275,96	1,550		
275,90	1,464		
275,81	1,464		
275,69	1,407		
275,56	1,371		
275,39	1,336		
275,21	1,336		
274,99	1,329		
274,76	1,300		
274,49	1,293		
274,20	1,250		
273,89	1,243		
273,55	1,229		
273,19	1,200		
272,80	1,215		
272,38	1,158		
271,94	1,143		
271,48	1,158		
270,99	1,115		
270,47	1,094		
269,93	1,086		
269,37	1,108		
268,78	1,065		
268,16	1,058		
267,52	1,065		
266,85	1,051		
266,15	1,079		
265,43	1,044		
264,69	1,058		
263,92	1,072		
263,12	1,029		
262,30	1,051		
261,45	1,051		
260,58	1,044		
259,68	1,051		
258,76	1,079		
257,81	1,065		
256,83	1,065		
255,83	1,072		
254,80	1,072		
253,75	1,072		
252,67	1,072		
251,57	1,122		
250,44	1,065		
249,29	1,051		
248,11	1,072		
246,90	1,086		
245,67	1,086		
244,41	1,037		
243,13	1,037		
241,83	1,058		
240,49	1,065		
239,14	1,044		
237,76	1,094		
236,35	1,094		
234,92	1,129		
233,46	1,129		
231,99	1,136		
230,48	1,129		
228,95	1,143		
227,40	1,165		
225,83	1,065		
224,23	1,172		
222,61	1,136		
220,96	1,158		
219,30	1,143		
217,61	1,136		
215,89	1,151		
214,16	1,151		
212,41	1,158		
210,63	1,136		
208,83	1,158		
207,01	1,165		
205,18	1,129		
203,32	1,314		
201,44	1,193		
199,55	1,186		
197,63	1,200		
195,70	1,186		
193,75	1,229		
191,78	1,222		
189,80	1,208		
187,80	1,243		
185,78	1,215		
183,75	1,200		
181,70	1,215		
179,64	1,200		
177,57	1,208		
175,48	1,215		
173,39	1,222		
171,28	1,243		
169,16	1,172		
167,03	1,193		
164,89	1,179		
162,74	1,165		
160,58	1,179		
158,42	1,179		
156,25	1,165		
154,08	1,172		
151,90	1,151		
149,71	1,151		
147,52	1,172		
145,33	1,165		
143,14	1,179		
140,95	1,179		
138,75	1,165		
136,56	1,158		
134,37	1,151		
132,18	1,158		
130,00	1,108		
127,82	1,151		
125,64	1,158		
123,47	1,151		
121,31	1,151		
119,16	1,143		
117,01	1,136		
114,87	1,136		
112,75	1,158		
110,64	1,165		
108,54	1,143		
106,45	1,172		
104,37	1,172		
102,32	1,165		
100,28	1,151		
98,25	1,165		
96,24	1,165		
94,26	1,158		
92,29	1,165		
90,34	1,179		
88,42	1,179		
86,52	1,186		
84,64	1,193		
82,78	1,179		
80,95	1,151		
79,15	1,165		
77,38	1,179		
75,63	1,193		
73,91	1,172		
72,22	0,965		
70,56	1,143		
68,93	1,151		
67,33	1,136		
65,77	1,151		
64,24	1,158		
62,74	1,122		
61,28	1,122		
59,85	1,108		
58,46	1,122		
57,11	1,136		
55,80	1,151		
54,52	1,136		
53,28	1,143		
52,08	1,158		
50,92	1,129		
49,81	1,151		
48,73	1,136		
47,70	1,136		
46,70	1,143		
45,75	1,129		
44,85	1,136		
43,99	1,129		
43,17	1,122		
42,39	1,143		
41,66	1,122		
40,98	1,151		
40,34	1,079		
39,75	1,129		
39,20	1,115		
38,71	1,122		
38,25	1,115		
37,85	1,094		
37,49	1,158		
37,18	1,108		
36,92	1,122		
36,70	1,122		
36,53	1,136		
36,41	1,094		
36,34	1,115		
