Volumen	P_ZYL1	P_ZYL2	
cm3	bar		
36,32	1,086		
36,34	1,086		
36,41	1,086		
36,53	1,065		
36,70	1,051		
36,92	1,037		
37,18	1,037		
37,49	1,015		
37,85	1,022		
38,25	1,022		
38,71	0,979		
39,20	0,958		
39,75	0,930		
40,34	0,958		
40,98	0,951		
41,66	0,951		
42,39	0,915		
43,17	0,880		
43,99	0,901		
44,85	0,894		
45,75	0,901		
46,70	0,873		
47,70	0,887		
48,73	0,880		
49,81	0,873		
50,92	0,858		
52,08	0,873		
53,28	0,858		
54,52	0,873		
55,80	0,873		
57,11	0,865		
58,46	0,873		
59,85	0,844		
61,28	0,851		
62,74	0,865		
64,24	0,894		
65,77	0,873		
67,33	0,851		
68,93	0,858		
70,56	0,908		
72,22	0,894		
73,91	0,880		
75,63	0,865		
77,38	0,880		
79,15	0,865		
80,95	0,880		
82,78	0,865		
84,64	0,865		
86,52	0,873		
88,42	0,865		
90,34	0,865		
92,29	0,851		
94,26	0,837		
96,24	0,858		
98,25	0,730		
100,28	0,808		
102,32	0,830		
104,37	0,837		
106,45	0,837		
108,54	0,844		
110,64	0,851		
112,75	0,844		
114,87	0,844		
117,01	0,830		
119,16	0,837		
121,31	0,837		
123,47	0,865		
125,64	0,830		
127,82	0,844		
130,00	0,837		
132,18	0,816		
134,37	0,816		
136,56	0,844		
138,75	0,837		
140,95	0,830		
143,14	0,794		
145,33	0,823		
147,52	0,830		
149,71	0,823		
151,90	0,816		
154,08	0,808		
156,25	0,823		
158,42	0,780		
160,58	0,830		
162,74	0,794		
164,89	0,801		
167,03	0,794		
169,16	0,851		
171,28	0,816		
173,39	0,801		
175,48	0,808		
177,57	0,823		
179,64	0,816		
181,70	0,787		
183,75	0,794		
185,78	0,773		
187,80	0,787		
189,80	0,780		
191,78	0,787		
193,75	0,780		
195,70	0,744		
197,63	0,794		
199,55	0,801		
201,44	0,744		
203,32	0,773		
205,18	0,780		
207,01	0,801		
208,83	0,759		
210,63	0,794		
212,41	0,780		
214,16	0,773		
215,89	0,751		
217,61	0,751		
219,30	0,737		
220,96	0,759		
222,61	0,773		
224,23	0,737		
225,83	0,759		
227,40	0,773		
228,95	0,766		
230,48	0,766		
231,99	0,751		
233,46	0,787		
234,92	0,759		
236,35	0,766		
237,76	0,801		
239,14	0,766		
240,49	0,773		
241,83	0,766		
243,13	0,773		
244,41	0,787		
245,67	0,766		
246,90	0,787		
248,11	0,730		
249,29	0,759		
250,44	0,773		
251,57	0,787		
252,67	0,794		
253,75	0,787		
254,80	0,787		
255,83	0,766		
256,83	0,787		
257,81	0,787		
258,76	0,773		
259,68	0,773		
260,58	0,773		
261,45	0,766		
262,30	0,780		
263,12	0,794		
263,92	0,794		
264,69	0,773		
265,43	0,780		
266,15	0,801		
266,85	0,787		
267,52	0,801		
268,16	0,794		
268,78	0,766		
269,37	0,780		
269,93	0,766		
270,47	0,780		
270,99	0,787		
271,48	0,787		
271,94	0,787		
272,38	0,787		
272,80	0,773		
273,19	0,773		
273,55	0,780		
273,89	0,794		
274,20	0,766		
274,49	0,759		
274,76	0,787		
274,99	0,744		
275,21	0,773		
275,39	0,794		
275,56	0,773		
275,69	0,759		
275,81	0,773		
275,90	0,787		
275,96	0,766		
276,00	0,794		
276,01	0,801		
276,00	0,780		
275,96	0,808		
275,90	0,794		
275,81	0,830		
275,69	0,851		
275,56	0,801		
275,39	0,801		
275,21	0,808		
274,99	0,816		
274,76	0,816		
274,49	0,830		
274,20	0,816		
273,89	0,816		
273,55	0,830		
273,19	0,830		
272,80	0,830		
272,38	0,844		
271,94	0,830		
271,48	0,780		
270,99	0,837		
270,47	0,816		
269,93	0,823		
269,37	0,808		
268,78	0,830		
268,16	0,801		
267,52	0,830		
266,85	0,844		
266,15	0,830		
265,43	0,823		
264,69	0,816		
263,92	0,823		
263,12	0,816		
262,30	0,823		
261,45	0,823		
260,58	0,830		
259,68	0,823		
258,76	0,858		
257,81	0,851		
256,83	0,858		
255,83	0,880		
254,80	0,851		
253,75	0,858		
252,67	0,873		
251,57	0,865		
250,44	0,880		
249,29	0,873		
248,11	0,894		
246,90	0,851		
245,67	0,880		
244,41	0,894		
243,13	0,965		
241,83	0,937		
240,49	0,887		
239,14	0,887		
237,76	0,937		
236,35	0,915		
234,92	0,972		
233,46	0,930		
231,99	0,915		
230,48	0,944		
228,95	0,987		
227,40	0,951		
225,83	0,994		
224,23	1,022		
222,61	1,015		
220,96	1,037		
219,30	1,072		
217,61	1,044		
215,89	1,037		
214,16	1,044		
212,41	1,044		
210,63	1,079		
208,83	1,072		
207,01	1,044		
205,18	1,079		
203,32	1,065		
201,44	1,108		
199,55	1,115		
197,63	1,115		
195,70	1,136		
193,75	1,143		
191,78	1,129		
189,80	1,143		
187,80	1,115		
185,78	1,208		
183,75	1,186		
181,70	1,229		
179,64	1,272		
177,57	1,293		
175,48	1,300		
173,39	1,350		
171,28	1,343		
169,16	1,350		
167,03	1,364		
164,89	1,407		
162,74	1,436		
160,58	1,464		
158,42	1,478		
156,25	1,514		
154,08	1,550		
151,90	1,571		
149,71	1,585		
147,52	1,614		
145,33	1,671		
143,14	1,692		
140,95	1,749		
138,75	1,763		
136,56	1,806		
134,37	1,835		
132,18	1,920		
130,00	1,927		
127,82	2,013		
125,64	2,020		
123,47	2,098		
121,31	2,127		
119,16	2,184		
117,01	2,205		
114,87	2,262		
112,75	2,312		
110,64	2,376		
108,54	2,455		
106,45	2,490		
104,37	2,569		
102,32	2,633		
