Kurbelwinkel	dQ1	dQ2	IntQ1	IntQ2	
Grad	kJ/m3Grd		kJ/m3		
-141,00	2,969		281,3		
-140,00	-2,486		281,5		
-139,00	-4,719		277,9		
-138,00	1,731		276,4		
-137,00	-0,453		277,1		
-136,00	-0,525		276,6		
-135,00	-0,558		276,0		
-134,00	0,441		276,0		
-133,00	-4,820		273,8		
-132,00	-3,857		269,5		
-131,00	4,466		269,8		
-130,00	10,526		277,3		
-129,00	4,272		284,7		
-128,00	-13,380		280,1		
-127,00	-9,167		268,8		
-126,00	5,058		266,8		
-125,00	1,981		270,3		
-124,00	2,820		272,7		
-123,00	-0,166		274,0		
-122,00	-10,214		268,8		
-121,00	-0,302		263,6		
-120,00	7,412		267,1		
-119,00	-1,392		270,1		
-118,00	-1,556		268,7		
-117,00	7,028		271,4		
-116,00	0,232		275,0		
-115,00	-0,851		274,7		
-114,00	4,708		276,6		
-113,00	-1,906		278,1		
-112,00	-7,584		273,3		
-111,00	-2,937		268,0		
-110,00	-2,036		265,6		
-109,00	1,474		265,3		
-108,00	0,498		266,3		
-107,00	-7,581		262,7		
-106,00	-2,322		257,8		
-105,00	-0,558		256,3		
-104,00	0,140		256,1		
-103,00	2,640		257,5		
-102,00	-2,592		257,5		
-101,00	-1,002		255,7		
-100,00	-0,246		255,1		
-99,00	-4,427		252,8		
-98,00	-3,676		248,7		
-97,00	-5,251		244,3		
-96,00	3,332		243,3		
-95,00	4,090		247,0		
-94,00	-1,689		248,2		
-93,00	5,155		249,9		
-92,00	2,634		253,8		
-91,00	-1,328		254,5		
-90,00	1,485		254,6		
-89,00	-0,102		255,3		
-88,00	-4,672		252,9		
-87,00	-2,523		249,3		
-86,00	0,900		248,5		
-85,00	2,145		250,0		
-84,00	0,524		251,3		
-83,00	-1,035		251,1		
-82,00	-0,524		250,3		
-81,00	1,314		250,7		
-80,00	-0,219		251,2		
-79,00	-2,342		250,0		
-78,00	-1,854		247,9		
-77,00	1,767		247,8		
-76,00	0,940		249,2		
-75,00	0,618		249,9		
-74,00	-0,159		250,2		
-73,00	-1,630		249,3		
-72,00	-0,604		248,2		
-71,00	2,577		249,1		
-70,00	0,648		250,8		
-69,00	0,225		251,2		
-68,00	0,121		251,4		
-67,00	-0,836		251,0		
-66,00	0,618		250,9		
-65,00	-1,317		250,6		
-64,00	-2,011		248,9		
-63,00	-2,263		246,8		
-62,00	-0,464		245,4		
-61,00	-0,296		245,0		
-60,00	1,289		245,5		
-59,00	-0,871		245,7		
-58,00	-1,226		244,7		
-57,00	0,311		244,2		
-56,00	-1,345		243,7		
-55,00	-2,504		241,8		
-54,00	-0,671		240,2		
-53,00	0,761		240,2		
-52,00	1,125		241,2		
-51,00	-0,461		241,5		
-50,00	-2,050		240,2		
-49,00	0,733		239,6		
-48,00	0,017		240,0		
-47,00	0,287		240,1		
-46,00	-0,067		240,2		
-45,00	-0,169		240,1		
-44,00	0,893		240,5		
-43,00	0,368		241,1		
-42,00	0,635		241,6		
-41,00	-1,423		241,2		
-40,00	-0,549		240,2		
-39,00	1,252		240,6		
-38,00	1,654		242,0		
-37,00	-0,825		242,4		
-36,00	-2,389		240,8		
-35,00	2,094		240,7		
-34,00	1,915		242,7		
-33,00	0,358		243,8		
-32,00	-0,760		243,6		
-31,00	-1,219		242,6		
-30,00	1,558		242,8		
-29,00	0,256		243,7		
-28,00	-1,728		243,0		
-27,00	2,507		243,4		
-26,00	1,457		245,3		
-25,00	-0,970		245,6		
-24,00	-0,031		245,1		
-23,00	-0,077		245,0		
-22,00	1,495		245,7		
-21,00	-0,097		246,4		
-20,00	-0,140		246,3		
-19,00	1,915		247,2		
-18,00	1,141		248,7		
-17,00	-0,379		249,1		
-16,00	1,630		249,7		
-15,00	2,385		251,8		
-14,00	2,628		254,3		
-13,00	3,369		257,3		
-12,00	3,092		260,5		
-11,00	4,519		264,3		
-10,00	5,745		269,4		
-9,00	6,304		275,5		
-8,00	7,144		282,2		
-7,00	8,219		289,9		
-6,00	10,185		299,1		
-5,00	11,898		310,1		
-4,00	12,629		322,4		
-3,00	13,621		335,5		
-2,00	15,758		350,2		
-1,00	16,596		366,4		
0,00	18,236		383,8		
1,00	20,854		403,3		
2,00	21,662		424,6		
3,00	23,102		447,0		
4,00	25,024		471,0		
5,00	25,226		496,1		
6,00	26,233		521,9		
7,00	27,872		548,9		
8,00	27,659		576,7		
9,00	27,230		604,1		
10,00	29,224		632,4		
11,00	31,666		662,8		
12,00	32,760		695,0		
13,00	35,159		729,0		
14,00	36,345		764,7		
15,00	36,844		801,3		
16,00	39,393		839,4		
17,00	39,156		878,7		
18,00	39,602		918,1		
19,00	42,880		959,3		
20,00	41,625		1001,6		
21,00	40,478		1042,6		
