Kurbelwinkel	dQ1	dQ2	IntQ1	IntQ2	
Grad	%/Grd		%		
-30,000	0,0975		0,00		
-29,000	0,0169		0,06		
-28,000	-0,1141		0,01		
-27,000	0,1656		0,03		
-26,000	0,0962		0,17		
-25,000	-0,0641		0,18		
-24,000	-0,0021		0,15		
-23,000	-0,0051		0,14		
-22,000	0,0987		0,19		
-21,000	-0,0064		0,24		
-20,000	-0,0092		0,23		
-19,000	0,1265		0,29		
-18,000	0,0754		0,39		
-17,000	-0,0250		0,41		
-16,000	0,1076		0,46		
-15,000	0,1575		0,59		
-14,000	0,1736		0,75		
-13,000	0,2225		0,95		
-12,000	0,2042		1,17		
-11,000	0,2984		1,42		
-10,000	0,3794		1,76		
-9,000	0,4163		2,15		
-8,000	0,4718		2,60		
-7,000	0,5428		3,10		
-6,000	0,6726		3,71		
-5,000	0,7858		4,44		
-4,000	0,8341		5,25		
-3,000	0,8996		6,12		
-2,000	1,0407		7,09		
-1,000	1,0961		8,16		
0,000	1,2044		9,31		
1,000	1,3773		10,60		
2,000	1,4307		12,00		
3,000	1,5257		13,48		
4,000	1,6527		15,07		
5,000	1,6660		16,73		
6,000	1,7325		18,43		
7,000	1,8408		20,21		
8,000	1,8267		22,05		
9,000	1,7984		23,86		
10,000	1,9301		25,73		
11,000	2,0913		27,74		
12,000	2,1636		29,86		
13,000	2,3220		32,11		
14,000	2,4003		34,47		
15,000	2,4333		36,88		
16,000	2,6017		39,40		
17,000	2,5860		42,00		
18,000	2,6155		44,60		
19,000	2,8319		47,32		
20,000	2,7491		50,11		
21,000	2,6733		52,82		
22,000	2,8124		55,56		
23,000	2,8405		58,39		
24,000	2,9049		61,26		
25,000	3,0396		64,24		
26,000	2,8876		67,20		
27,000	2,8927		70,09		
28,000	3,0070		73,04		
29,000	2,7631		75,92		
30,000	2,5346		78,57		
31,000	2,6402		81,16		
32,000	2,4447		83,70		
33,000	2,1078		85,98		
34,000	1,9255		88,00		
35,000	1,5533		89,74		
36,000	1,4535		91,24		
37,000	1,4141		92,67		
38,000	0,9899		93,87		
39,000	0,8226		94,78		
40,000	0,9391		95,66		
41,000	0,7881		96,53		
42,000	0,5967		97,22		
43,000	0,5932		97,81		
44,000	0,5384		98,38		
45,000	0,2973		98,80		
46,000	0,2201		99,06		
47,000	0,4492		99,39		
48,000	0,2887		99,76		
49,000	-0,0760		99,87		
50,000	0,0185		99,84		
51,000	0,1602		99,93		
52,000	-0,0123		100,00		
53,000	-0,1845		99,90		
54,000	-0,2164		99,70		
55,000	-0,0137		99,59		
56,000	-0,1443		99,51		
57,000	-0,2057		99,33		
58,000	0,0524		99,26		
59,000	-0,1916		99,19		
60,000	-0,2467		98,97		
61,000	-0,0931		98,80		
62,000	0,6471		99,07		
63,000	-0,0291		99,38		
64,000	-0,8343		98,95		
65,000	0,0240		98,55		
66,000	-0,0267		98,54		
67,000	-0,0715		98,50		
68,000	-0,0983		98,41		
69,000	-0,1225		98,30		
70,000	-0,0755		98,20		
71,000	-0,0523		98,14		
72,000	-0,1344		98,04		
73,000	-0,0536		97,95		
74,000	-0,1339		97,86		
75,000	-0,1564		97,71		
76,000	-0,1464		97,56		
77,000	-0,8829		97,04		
78,000	-0,2440		96,48		
79,000	-0,1292		96,29		
80,000	-0,1041		96,18		
81,000	0,5252		96,39		
82,000	-0,1566		96,57		
83,000	-0,1522		96,42		
84,000	-0,3080		96,19		
85,000	-0,1490		95,96		
86,000	0,0140		95,89		
87,000	-0,1654		95,82		
88,000	-0,0628		95,70		
89,000	-0,0099		95,67		
90,000	-0,1615		95,58		
