Kurbelwinkel	dQ1	dQ2	IntQ1	IntQ2	
Grad	%/Grd		%		
-30,000	-0,0823		0,00		
-29,000	0,1222		0,02		
-28,000	0,1341		0,15		
-27,000	0,0597		0,25		
-26,000	-0,0435		0,25		
-25,000	-0,1007		0,18		
-24,000	-0,0120		0,12		
-23,000	0,0337		0,14		
-22,000	0,0482		0,18		
-21,000	0,1117		0,26		
-20,000	0,0120		0,32		
-19,000	-0,0435		0,30		
-18,000	0,0431		0,30		
-17,000	0,0874		0,37		
-16,000	0,1409		0,48		
-15,000	0,2000		0,65		
-14,000	0,1311		0,82		
-13,000	0,1172		0,94		
-12,000	0,2238		1,11		
-11,000	0,2227		1,34		
-10,000	0,2691		1,58		
-9,000	0,3434		1,89		
-8,000	0,3651		2,24		
-7,000	0,4255		2,64		
-6,000	0,4416		3,07		
-5,000	0,4637		3,52		
-4,000	0,5801		4,05		
-3,000	0,6434		4,66		
-2,000	0,6897		5,32		
-1,000	0,7859		6,06		
0,000	0,8745		6,89		
1,000	0,9917		7,82		
2,000	1,1732		8,91		
3,000	1,2449		10,12		
4,000	1,3351		11,41		
5,000	1,4782		12,81		
6,000	1,4951		14,30		
7,000	1,5280		15,81		
8,000	1,6372		17,39		
9,000	1,8947		19,16		
10,000	2,0721		21,14		
11,000	2,2796		23,32		
12,000	2,4364		25,68		
13,000	2,4973		28,14		
14,000	2,7143		30,75		
15,000	2,8839		33,55		
16,000	2,8931		36,44		
17,000	2,9984		39,38		
18,000	3,1269		42,45		
19,000	3,0639		45,54		
20,000	3,1398		48,64		
21,000	3,2630		51,84		
22,000	3,2214		55,09		
23,000	3,2839		58,34		
24,000	3,3923		61,68		
25,000	3,3619		65,05		
26,000	3,5060		68,49		
27,000	3,4962		71,99		
28,000	3,1210		75,30		
29,000	3,0693		78,39		
30,000	2,9609		81,41		
31,000	2,5528		84,16		
32,000	2,4038		86,64		
33,000	2,1189		88,90		
34,000	1,7758		90,85		
35,000	1,5179		92,50		
36,000	1,2958		93,91		
37,000	1,2182		95,16		
38,000	1,0711		96,31		
39,000	0,8657		97,28		
40,000	0,6755		98,05		
41,000	0,4428		98,61		
42,000	0,4609		99,06		
43,000	0,3418		99,46		
44,000	0,0396		99,65		
45,000	0,2626		99,80		
46,000	0,1366		100,00		
47,000	-0,1386		100,00		
48,000	0,0122		99,94		
49,000	-0,0733		99,91		
50,000	-0,0901		99,82		
51,000	-0,0293		99,76		
52,000	-0,0874		99,71		
53,000	-0,1854		99,57		
54,000	-0,0873		99,43		
55,000	0,0337		99,41		
56,000	-0,1308		99,36		
57,000	-0,2865		99,15		
58,000	-0,3331		98,84		
59,000	0,1368		98,74		
60,000	0,2208		98,92		
61,000	-0,1612		98,95		
62,000	-0,0855		98,83		
63,000	-0,2950		98,64		
64,000	-0,1948		98,39		
65,000	-0,0568		98,27		
66,000	-0,1499		98,16		
67,000	-0,2499		97,96		
68,000	-0,1054		97,78		
69,000	-0,2019		97,63		
70,000	-0,2667		97,40		
71,000	-0,0565		97,23		
72,000	-0,3070		97,05		
73,000	-0,2236		96,79		
74,000	-0,3185		96,52		
75,000	-0,3326		96,19		
76,000	-0,1563		95,95		
77,000	-0,2006		95,77		
78,000	0,0132		95,67		
79,000	-0,0443		95,66		
80,000	-0,0513		95,61		
81,000	-0,1191		95,53		
82,000	-0,0223		95,46		
83,000	-0,1172		95,39		
84,000	-0,1097		95,27		
85,000	-0,0140		95,21		
86,000	-0,0999		95,15		
87,000	-0,1579		95,02		
88,000	-0,1455		94,87		
89,000	-0,1312		94,73		
90,000	-0,1123		94,61		
