Volumen	P_ZYL1	P_ZYL2	
cm3	bar		
37,85	10,627		
37,49	10,876		
37,18	11,147		
36,92	11,375		
36,70	11,632		
36,53	11,895		
36,41	12,152		
36,34	12,408		
36,32	12,686		
36,34	12,950		
36,41	13,249		
36,53	13,577		
36,70	13,869		
36,92	14,190		
37,18	14,504		
37,49	14,774		
37,85	15,038		
38,25	15,309		
38,71	15,651		
39,20	15,943		
39,75	16,314		
40,34	16,613		
40,98	16,934		
41,66	17,255		
42,39	17,582		
43,17	17,825		
43,99	18,110		
44,85	18,331		
45,75	18,509		
46,70	18,687		
47,70	18,844		
48,73	18,937		
49,81	19,058		
50,92	19,136		
52,08	19,179		
53,28	19,250		
54,52	19,250		
55,80	19,158		
57,11	19,100		
58,46	18,944		
59,85	18,744		
61,28	18,537		
62,74	18,252		
64,24	17,946		
65,77	17,604		
67,33	17,255		
68,93	16,905		
70,56	16,535		
72,22	16,157		
73,91	15,765		
75,63	15,359		
77,38	14,995		
79,15	14,589		
80,95	14,190		
82,78	13,855		
84,64	13,456		
86,52	13,093		
88,42	12,750		
90,34	12,394		
92,29	12,073		
94,26	11,753		
96,24	11,446		
98,25	11,133		
100,28	10,862		
102,32	10,591		
104,37	10,313		
106,45	10,035		
108,54	9,771		
110,64	9,586		
112,75	9,351		
114,87	9,123		
117,01	8,916		
119,16	8,674		
121,31	8,496		
123,47	8,289		
125,64	8,111		
127,82	7,918		
130,00	7,726		
132,18	7,583		
134,37	7,405		
136,56	7,220		
138,75	7,106		
140,95	6,921		
143,14	6,785		
145,33	6,600		
147,52	6,500		
149,71	6,379		
151,90	6,251		
154,08	6,137		
156,25	6,037		
158,42	5,930		
160,58	5,802		
162,74	5,723		
164,89	5,616		
167,03	5,524		
169,16	5,431		
171,28	5,346		
173,39	5,239		
175,48	5,160		
177,57	5,082		
179,64	5,011		
181,70	4,939		
183,75	4,861		
185,78	4,797		
187,80	4,690		
189,80	4,633		
191,78	4,547		
193,75	4,526		
195,70	4,441		
197,63	4,398		
199,55	4,305		
201,44	4,269		
203,32	4,227		
205,18	4,191		
207,01	4,127		
208,83	4,084		
210,63	4,084		
212,41	4,006		
214,16	3,963		
215,89	3,899		
217,61	3,870		
219,30	3,828		
220,96	3,785		
222,61	3,735		
224,23	3,685		
225,83	3,649		
227,40	3,628		
228,95	3,578		
230,48	3,528		
231,99	3,528		
233,46	3,478		
234,92	3,436		
236,35	3,329		
237,76	3,357		
239,14	3,314		
240,49	3,286		
241,83	3,265		
243,13	3,257		
244,41	3,222		
245,67	3,193		
246,90	3,158		
248,11	3,136		
249,29	3,108		
250,44	3,072		
251,57	3,029		
252,67	3,022		
253,75	3,015		
254,80	2,980		
255,83	2,965		
256,83	2,922		
257,81	2,922		
258,76	2,865		
259,68	2,837		
260,58	2,801		
261,45	2,780		
262,30	2,759		
263,12	2,709		
263,92	2,694		
264,69	2,666		
265,43	2,652		
266,15	2,645		
266,85	2,588		
267,52	2,516		
268,16	2,516		
268,78	2,588		
269,37	2,459		
269,93	2,409		
270,47	2,388		
270,99	2,359		
271,48	2,302		
271,94	2,295		
272,38	2,238		
272,80	2,217		
273,19	2,181		
273,55	2,139		
273,89	2,060		
274,20	2,032		
274,49	1,989		
274,76	1,939		
274,99	1,932		
275,21	1,690		
275,39	1,861		
275,56	1,761		
275,69	1,782		
275,81	1,739		
275,90	1,697		
275,96	1,618		
276,00	1,604		
276,01	1,540		
276,00	1,533		
275,96	1,447		
275,90	1,461		
275,81	1,397		
275,69	1,390		
275,56	1,355		
275,39	1,362		
275,21	1,312		
274,99	1,290		
274,76	1,248		
274,49	1,226		
274,20	1,162		
273,89	1,176		
273,55	1,155		
273,19	1,112		
272,80	1,127		
272,38	1,112		
271,94	1,112		
271,48	1,112		
270,99	1,091		
270,47	1,077		
269,93	1,055		
269,37	1,048		
268,78	1,048		
268,16	1,062		
267,52	1,020		
266,85	1,041		
266,15	1,041		
265,43	1,012		
264,69	1,027		
263,92	1,012		
263,12	0,998		
262,30	0,998		
261,45	0,991		
260,58	1,005		
259,68	0,991		
258,76	1,027		
257,81	1,005		
256,83	0,998		
255,83	1,005		
254,80	0,963		
253,75	1,012		
252,67	0,977		
251,57	1,005		
250,44	1,005		
249,29	1,020		
248,11	1,005		
246,90	0,984		
245,67	1,012		
244,41	1,048		
243,13	1,055		
241,83	1,041		
240,49	0,998		
239,14	1,041		
237,76	1,062		
236,35	1,027		
234,92	1,020		
233,46	1,034		
231,99	1,091		
230,48	1,048		
228,95	1,062		
227,40	1,055		
225,83	1,041		
224,23	1,070		
222,61	1,077		
220,96	1,077		
219,30	1,084		
217,61	1,077		
215,89	1,112		
214,16	1,077		
212,41	1,098		
210,63	1,077		
208,83	1,176		
207,01	1,162		
205,18	1,162		
203,32	1,162		
201,44	1,176		
199,55	1,184		
197,63	1,169		
195,70	1,191		
193,75	1,148		
191,78	1,134		
189,80	1,148		
187,80	1,141		
185,78	1,141		
183,75	1,127		
181,70	1,148		
179,64	1,148		
177,57	1,091		
175,48	1,162		
173,39	1,134		
171,28	1,127		
169,16	1,134		
167,03	1,119		
164,89	1,134		
162,74	1,112		
160,58	1,141		
158,42	1,148		
