Kurbelwinkel	P_ZYL1	Pcomp1	
Grad	bar	bar	
36	17,604	4,808	
37	17,255	4,661	
38	16,905	4,519	
39	16,535	4,382	
40	16,157	4,250	
41	15,765	4,122	
42	15,359	3,999	
43	14,995	3,880	
44	14,589	3,765	
45	14,190	3,655	
46	13,855	3,549	
47	13,456	3,447	
48	13,093	3,348	
49	12,750	3,253	
50	12,394	3,162	
51	12,073	3,074	
52	11,753	2,990	
53	11,446	2,909	
54	11,133	2,831	
55	10,862	2,755	
56	10,591	2,683	
57	10,313	2,614	
58	10,035	2,547	
59	9,771	2,482	
60	9,586	2,420	
61	9,351	2,360	
62	9,123	2,303	
63	8,916	2,248	
64	8,674	2,194	
65	8,496	2,143	
66	8,289	2,094	
67	8,111	2,046	
68	7,918	2,000	
69	7,726	1,956	
70	7,583	1,913	
71	7,405	1,872	
72	7,220	1,833	
73	7,106	1,795	
74	6,921	1,758	
75	6,785	1,723	
76	6,600	1,688	
77	6,500	1,655	
78	6,379	1,623	
79	6,251	1,593	
80	6,137	1,563	
81	6,037	1,534	
82	5,930	1,507	
83	5,802	1,480	
84	5,723	1,454	
85	5,616	1,429	
86	5,524	1,405	
87	5,431	1,382	
88	5,346	1,359	
89	5,239	1,337	
90	5,160	1,316	
91	5,082	1,296	
92	5,011	1,276	
93	4,939	1,257	
94	4,861	1,239	
95	4,797	1,221	
96	4,690	1,204	
97	4,633	1,187	
98	4,547	1,171	
99	4,526	1,155	
100	4,441	1,140	
101	4,398	1,125	
102	4,305	1,111	
103	4,269	1,097	
104	4,227	1,084	
105	4,191	1,071	
106	4,127	1,058	
107	4,084	1,046	
108	4,084	1,034	
109	4,006	1,023	
110	3,963	1,012	
111	3,899	1,001	
112	3,870	0,991	
113	3,828	0,981	
114	3,785	0,971	
115	3,735	0,962	
116	3,685	0,952	
117	3,649	0,944	
118	3,628	0,935	
119	3,578	0,927	
120	3,528	0,919	
121	3,528	0,911	
122	3,478	0,903	
123	3,436	0,896	
124	3,329	0,889	
125	3,357	0,882	
126	3,314	0,875	
127	3,286	0,868	
128	3,265	0,862	
129	3,257	0,856	
130	3,222	0,850	
131	3,193	0,844	
132	3,158	0,839	
133	3,136	0,833	
134	3,108	0,828	
135	3,072	0,823	
136	3,029	0,818	
137	3,022	0,814	
138	3,015	0,809	
139	2,980	0,805	
