Kurbelwinkel	P_ZYL1	Pcomp1	
Grad	bar	bar	
-360	1,076		
-359	1,062		
-358	1,055		
-357	1,048		
-356	1,019		
-355	1,012		
-354	0,991		
-353	0,991		
-352	0,934		
-351	0,955		
-350	0,919		
-349	0,983		
-348	0,948		
-347	0,926		
-346	0,898		
-345	0,919		
-344	0,919		
-343	0,926		
-342	0,941		
-341	0,905		
-340	0,898		
-339	0,898		
-338	0,912		
-337	0,912		
-336	0,891		
-335	0,884		
-334	0,862		
-333	0,898		
-332	0,862		
-331	0,855		
-330	0,841		
-329	0,841		
-328	0,862		
-327	0,841		
-326	0,855		
-325	0,862		
-324	0,848		
-323	0,855		
-322	0,855		
-321	0,834		
-320	0,848		
-319	0,855		
-318	0,877		
-317	0,848		
-316	0,855		
-315	0,841		
-314	0,855		
-313	0,848		
-312	0,841		
-311	0,791		
-310	0,834		
-309	0,841		
-308	0,862		
-307	0,848		
-306	0,848		
-305	0,841		
-304	0,805		
-303	0,812		
-302	0,834		
-301	0,812		
-300	0,877		
-299	0,841		
-298	0,862		
-297	0,841		
-296	0,855		
-295	0,848		
-294	0,869		
-293	0,820		
-292	0,877		
-291	0,862		
-290	0,855		
-289	0,848		
-288	0,855		
-287	0,884		
-286	0,855		
-285	0,820		
-284	0,820		
-283	0,820		
-282	0,805		
-281	0,791		
-280	0,820		
-279	0,812		
-278	0,791		
-277	0,820		
-276	0,805		
-275	0,798		
-274	0,763		
-273	0,784		
-272	0,805		
-271	0,791		
-270	0,805		
-269	0,805		
-268	0,812		
-267	0,791		
-266	0,791		
-265	0,791		
-264	0,777		
-263	0,798		
-262	0,770		
-261	0,770		
-260	0,791		
-259	0,798		
-258	0,784		
-257	0,748		
-256	0,770		
-255	0,777		
-254	0,763		
-253	0,741		
-252	0,812		
-251	0,791		
-250	0,784		
-249	0,755		
-248	0,791		
-247	0,791		
-246	0,791		
-245	0,798		
-244	0,791		
-243	0,812		
-242	0,798		
-241	0,784		
-240	0,798		
-239	0,805		
-238	0,812		
-237	0,713		
-236	0,791		
-235	0,777		
-234	0,734		
-233	0,763		
-232	0,755		
-231	0,755		
-230	0,777		
-229	0,763		
-228	0,770		
-227	0,727		
-226	0,755		
-225	0,734		
-224	0,748		
-223	0,777		
-222	0,755		
-221	0,748		
-220	0,791		
-219	0,777		
-218	0,791		
-217	0,763		
-216	0,763		
-215	0,798		
-214	0,755		
-213	0,741		
-212	0,734		
-211	0,777		
-210	0,734		
-209	0,748		
-208	0,748		
-207	0,748		
-206	0,755		
-205	0,727		
-204	0,791		
-203	0,791		
-202	0,770		
-201	0,812		
-200	0,798		
-199	0,798		
-198	0,812		
-197	0,812		
-196	0,805		
-195	0,820		
-194	0,798		
-193	0,812		
-192	0,805		
-191	0,812		
-190	0,805		
-189	0,748		
-188	0,777		
-187	0,755		
-186	0,741		
-185	0,755		
-184	0,763		
-183	0,770		
-182	0,784		
-181	0,784		
-180	0,755	0,755	
-179	0,741	0,741	
-178	0,777	0,777	
-177	0,770	0,770	
-176	0,784	0,784	
-175	0,791	0,791	
-174	0,777	0,777	
-173	0,784	0,784	
-172	0,791	0,791	
-171	0,791	0,791	
-170	0,770	0,770	
-169	0,777	0,777	
-168	0,798	0,798	
-167	0,798	0,798	
-166	0,805	0,805	
-165	0,798	0,798	
-164	0,805	0,805	
-163	0,805	0,805	
-162	0,777	0,777	
-161	0,798	0,798	
-160	0,798	0,798	
-159	0,798	0,798	
-158	0,784	0,784	
-157	0,770	0,770	
-156	0,827	0,827	
-155	0,791	0,791	
-154	0,827	0,827	
-153	0,827	0,827	
-152	0,827	0,827	
-151	0,848	0,848	
-150	0,841	0,841	
-149	0,862	0,862	
-148	0,848	0,848	
-147	0,855	0,855	
-146	0,869	0,869	
-145	0,855	0,855	
-144	0,862	0,862	
-143	0,862	0,862	
-142	0,869	0,869	
-141	0,848	0,848	
-140	0,862	0,862	
-139	0,834	0,834	
-138	0,827	0,827	
-137	0,841	0,841	
-136	0,855	0,855	
-135	0,848	0,848	
-134	0,820	0,820	
-133	0,848	0,848	
-132	0,862	0,862	
-131	0,855	0,855	
-130	0,862	0,862	
-129	0,941	0,941	
-128	0,926	0,926	
-127	0,919	0,919	
-126	0,877	0,877	
-125	0,912	0,912	
-124	0,934	0,934	
-123	0,934	0,934	
-122	0,926	0,926	
-121	0,912	0,912	
-120	0,948	0,948	
-119	0,969	0,969	
-118	1,005	1,005	
-117	0,955	0,955	
-116	1,048	1,048	
-115	0,941	0,941	
-114	0,998	0,998	
-113	0,983	0,983	
-112	1,012	1,012	
-111	1,005	1,005	
-110	1,033	1,033	
-109	1,026	1,026	
-108	1,090	1,090	
-107	1,055	1,055	
-106	1,112	1,112	
-105	1,097	1,097	
-104	1,126	1,126	
-103	1,119	1,119	
-102	1,154	1,154	
-101	1,169	1,169	
-100	1,147	1,147	
-99	1,219	1,219	
-98	1,226	1,226	
-97	1,233	1,233	
-96	1,254	1,254	
-95	1,261	1,261	
-94	1,254	1,254	
-93	1,333	1,333	
-92	1,240	1,240	
-91	1,283	1,283	
-90	1,283	1,283	
-89	1,354	1,354	
-88	1,368	1,368	
-87	1,397	1,397	
-86	1,397	1,397	
-85	1,447	1,447	
-84	1,468	1,468	
-83	1,489	1,489	
-82	1,511	1,511	
-81	1,561	1,561	
-80	1,561	1,561	
-79	1,603	1,603	
-78	1,625	1,625	
-77	1,653	1,653	
-76	1,682	1,682	
-75	1,746	1,746	
-74	1,767	1,767	
-73	1,824	1,824	
-72	1,860	1,860	
-71	1,881	1,881	
-70	1,953	1,953	
-69	1,981	1,981	
-68	2,017	2,017	
-67	2,045	2,045	
-66	2,095	2,095	
-65	2,159	2,159	
-64	2,202	2,202	
-63	2,224	2,224	
-62	2,316	2,316	
-61	2,338	2,338	
-60	2,387	2,387	
-59	2,509	2,509	
-58	2,580	2,580	
-57	2,630	2,630	
-56	2,708	2,708	
-55	2,794	2,794	
-54	2,829	2,829	
-53	2,915	2,915	
-52	3,015	3,015	
-51	3,086	3,086	
-50	3,157	3,157	
-49	3,278	3,278	
-48	3,364	3,364	
-47	3,449	3,449	
-46	3,563	3,563	
-45	3,663	3,663	
-44	3,742	3,742	
-43	3,841	3,841	
-42	3,984	3,984	
-41	4,105	4,105	
-40	4,205	4,205	
-39	4,347	4,347	
-38	4,490	4,490	
-37	4,647	4,647	
-36	4,768	4,768	
-35	4,946	4,946	
-34	5,103	5,103	
-33	5,295	5,295	
-32	5,452	5,452	
-31	5,609	5,609	
-30	5,780	5,780	
-29	6,008	6,008	
-28	6,172	6,172	
-27	6,321	6,321	
-26	6,550	6,550	
-25	6,778	6,778	
-24	6,984	6,984	
-23	7,170	7,170	
-22	7,433	7,433	
-21	7,633	7,633	
-20	7,861	7,843	
-19	8,060	8,052	
-18	8,267	8,262	
-17	8,502	8,469	
-16	8,723	8,674	
-15	8,937	8,874	
-14	9,165	9,070	
-13	9,386	9,260	
-12	9,557	9,443	
-11	9,828	9,616	
-10	10,013	9,780	
-9	10,191	9,933	
-8	10,405	10,074	
-7	10,576	10,201	
-6	10,733	10,314	
-5	10,933	10,411	
-4	11,047	10,492	
-3	11,196	10,556	
-2	11,325	10,602	
-1	11,431	10,629	
0	11,545	10,639	
1	11,645	10,629	
2	11,688	10,602	
3	11,759	10,556	
4	11,845	10,492	
5	11,873	10,411	
6	11,937	10,314	
7	11,987	10,201	
8	12,044	10,074	
9	12,044	9,933	
10	12,044	9,780	
11	12,044	9,616	
12	12,023	9,443	
13	11,973	9,260	
14	11,937	9,070	
15	11,888	8,874	
16	11,852	8,674	
17	11,816	8,469	
18	11,788	8,262	
19	11,759	8,052	
20	11,731	7,843	
21	11,695	7,633	
22	11,631	7,424	
23	11,645	7,217	
24	11,581	7,011	
25	11,545	6,809	
26	11,503	6,610	
27	11,467	6,414	
28	11,403	6,223	
29	11,382	6,035	
30	11,325	5,853	
31	11,296	5,675	
32	11,268	5,501	
33	11,246	5,333	
34	11,175	5,170	
35	11,203	5,011	
36	11,211	4,858	
37	11,125	4,709	
38	11,096	4,566	
39	11,061	4,427	
40	11,004	4,294	
41	10,975	4,164	
42	10,933	4,040	
43	10,861	3,920	
44	10,819	3,804	
45	10,783	3,693	
46	10,712	3,585	
47	10,655	3,482	
48	10,590	3,383	
49	10,519	3,287	
50	10,434	3,195	
51	10,377	3,106	
52	10,241	3,021	
53	10,149	2,939	
54	10,063	2,860	
55	9,942	2,784	
56	9,807	2,711	
57	9,721	2,640	
58	9,607	2,573	
59	9,507	2,508	
60	9,393	2,445	
61	9,272	2,385	
62	9,137	2,327	
63	9,008	2,271	
64	8,873	2,217	
65	8,752	2,165	
66	8,645	2,115	
67	8,517	2,067	
68	8,367	2,021	
69	8,246	1,976	
70	8,139	1,933	
71	7,996	1,892	
72	7,882	1,852	
73	7,775	1,813	
74	7,640	1,776	
75	7,512	1,740	
76	7,426	1,706	
77	7,298	1,672	
78	7,170	1,640	
79	7,048	1,609	
80	6,913	1,579	
81	6,820	1,550	
82	6,728	1,522	
83	6,656	1,495	
84	6,564	1,469	
85	6,464	1,444	
86	6,378	1,420	
87	6,264	1,396	
88	6,179	1,373	
89	6,072	1,351	
90	6,008	1,330	
91	5,887	1,309	
92	5,808	1,289	
93	5,730	1,270	
94	5,637	1,252	
95	5,559	1,234	
96	5,502	1,216	
97	5,416	1,199	
98	5,345	1,183	
99	5,138	1,167	
100	5,195	1,152	
101	5,117	1,137	
102	5,032	1,122	
103	4,960	1,109	
104	4,910	1,095	
105	4,832	1,082	
106	4,839	1,069	
107	4,761	1,057	
108	4,739	1,045	
109	4,668	1,034	
110	4,611	1,022	
111	4,568	1,012	
112	4,518	1,001	
113	4,476	0,991	
114	4,390	0,981	
115	4,354	0,972	
116	4,283	0,962	
117	4,262	0,953	
118	4,183	0,945	
119	4,183	0,936	
120	4,126	0,928	
121	4,084	0,920	
122	4,062	0,912	
123	4,020	0,905	
124	3,984	0,898	
125	3,948	0,891	
126	3,927	0,884	
127	3,877	0,877	
128	3,863	0,871	
129	3,791	0,865	
130	3,806	0,859	
131	3,763	0,853	
132	3,742	0,847	
133	3,699	0,842	
134	3,692	0,837	
135	3,642	0,832	
136	3,571	0,827	
137	3,571	0,822	
138	3,549	0,817	
139	3,528	0,813	
140	3,492	0,809	
141	3,478	0,804	
142	3,435	0,800	
143	3,449	0,797	
144	3,350	0,793	
145	3,350	0,789	
146	3,285	0,786	
147	3,271	0,782	
148	3,236	0,779	
149	3,171	0,776	
150	3,157	0,773	
151	3,122	0,770	
152	3,093	0,767	
153	3,050	0,765	
154	3,029	0,762	
155	2,986	0,760	
156	2,893	0,758	
157	2,865	0,755	
158	2,858	0,753	
159	2,787	0,751	
160	2,772	0,749	
161	2,737	0,748	
162	2,680	0,746	
163	2,623	0,744	
164	2,580	0,743	
165	2,551	0,741	
166	2,509	0,740	
167	2,459	0,739	
168	2,373	0,738	
169	2,359	0,737	
170	2,330	0,736	
171	2,238	0,735	
172	2,224	0,734	
173	2,167	0,734	
174	2,081	0,733	
175	2,052	0,733	
176	1,981	0,732	
177	1,981	0,732	
178	1,910	0,732	
179	1,910	0,732	
180	1,910	0,731	
181	1,782		
182	1,803		
183	1,718		
184	1,710		
185	1,632		
186	1,661		
187	1,582		
188	1,568		
189	1,539		
190	1,489		
191	1,468		
192	1,404		
193	1,390		
194	1,354		
195	1,333		
196	1,333		
197	1,269		
198	1,247		
199	1,240		
200	1,219		
201	1,226		
202	1,219		
203	1,212		
204	1,176		
205	1,169		
206	1,169		
207	1,183		
208	1,154		
209	1,176		
210	1,169		
211	1,162		
212	1,154		
213	1,147		
214	1,133		
215	1,140		
216	1,133		
217	1,112		
218	1,119		
219	1,133		
220	1,140		
221	1,119		
222	1,126		
223	1,154		
224	1,154		
225	1,154		
226	1,140		
227	1,147		
228	1,261		
229	1,147		
230	1,169		
231	1,169		
232	1,169		
233	1,169		
234	1,190		
235	1,212		
236	1,162		
237	1,154		
238	1,183		
239	1,197		
240	1,183		
241	1,162		
242	1,197		
243	1,219		
244	1,162		
245	1,176		
246	1,183		
247	1,219		
248	1,204		
249	1,183		
250	1,219		
251	1,219		
252	1,204		
253	1,233		
254	1,219		
255	1,219		
256	1,226		
257	1,212		
258	1,226		
259	1,204		
260	1,233		
261	1,226		
262	1,197		
263	1,219		
264	1,197		
265	1,197		
266	1,212		
267	1,197		
268	1,219		
269	1,212		
270	1,190		
271	1,204		
272	1,212		
273	1,212		
274	1,226		
275	1,212		
276	1,212		
277	1,254		
278	1,219		
279	1,247		
280	1,261		
281	1,247		
282	1,212		
283	1,247		
284	1,212		
285	1,219		
286	1,212		
287	1,190		
288	1,197		
289	1,204		
290	1,197		
291	1,183		
292	1,197		
293	1,154		
294	1,147		
295	1,176		
296	1,162		
297	1,147		
298	1,169		
299	1,162		
300	1,169		
301	1,147		
302	1,190		
303	1,169		
304	1,162		
305	1,154		
306	1,169		
307	1,140		
308	1,176		
309	1,147		
310	1,133		
311	1,162		
312	1,154		
313	1,140		
314	1,147		
315	1,162		
316	1,126		
317	1,162		
318	1,169		
319	1,204		
320	1,162		
321	1,162		
322	1,140		
323	1,147		
324	1,162		
325	1,212		
326	1,183		
327	1,176		
328	1,162		
329	1,183		
330	1,197		
331	1,183		
332	1,147		
333	1,126		
334	1,126		
335	1,147		
336	1,247		
337	1,162		
338	1,140		
339	1,119		
340	1,112		
341	1,119		
342	1,097		
343	1,162		
344	1,119		
345	1,147		
346	1,126		
347	1,154		
348	1,112		
349	1,140		
350	1,105		
351	1,119		
352	1,119		
353	1,126		
354	1,112		
355	1,112		
356	1,097		
357	1,090		
358	1,069		
359	1,069		
