Volumen	P_ZYL1	P_ZYL2	
cm3	bar		
36,32	1,076		
36,34	1,062		
36,41	1,055		
36,53	1,048		
36,70	1,019		
36,92	1,012		
37,18	0,991		
37,49	0,991		
37,85	0,934		
38,25	0,955		
38,71	0,919		
39,20	0,983		
39,75	0,948		
40,34	0,926		
40,98	0,898		
41,66	0,919		
42,39	0,919		
43,17	0,926		
43,99	0,941		
44,85	0,905		
45,75	0,898		
46,70	0,898		
47,70	0,912		
48,73	0,912		
49,81	0,891		
50,92	0,884		
52,08	0,862		
53,28	0,898		
54,52	0,862		
55,80	0,855		
57,11	0,841		
58,46	0,841		
59,85	0,862		
61,28	0,841		
62,74	0,855		
64,24	0,862		
65,77	0,848		
67,33	0,855		
68,93	0,855		
70,56	0,834		
72,22	0,848		
73,91	0,855		
75,63	0,877		
77,38	0,848		
79,15	0,855		
80,95	0,841		
82,78	0,855		
84,64	0,848		
86,52	0,841		
88,42	0,791		
90,34	0,834		
92,29	0,841		
94,26	0,862		
96,24	0,848		
98,25	0,848		
100,28	0,841		
102,32	0,805		
104,37	0,812		
106,45	0,834		
108,54	0,812		
110,64	0,877		
112,75	0,841		
114,87	0,862		
117,01	0,841		
119,16	0,855		
121,31	0,848		
123,47	0,869		
125,64	0,820		
127,82	0,877		
130,00	0,862		
132,18	0,855		
134,37	0,848		
136,56	0,855		
138,75	0,884		
140,95	0,855		
143,14	0,820		
145,33	0,820		
147,52	0,820		
149,71	0,805		
151,90	0,791		
154,08	0,820		
156,25	0,812		
158,42	0,791		
160,58	0,820		
162,74	0,805		
164,89	0,798		
167,03	0,763		
169,16	0,784		
171,28	0,805		
173,39	0,791		
175,48	0,805		
177,57	0,805		
179,64	0,812		
181,70	0,791		
183,75	0,791		
185,78	0,791		
187,80	0,777		
189,80	0,798		
191,78	0,770		
193,75	0,770		
195,70	0,791		
197,63	0,798		
199,55	0,784		
201,44	0,748		
203,32	0,770		
205,18	0,777		
207,01	0,763		
208,83	0,741		
210,63	0,812		
212,41	0,791		
214,16	0,784		
215,89	0,755		
217,61	0,791		
219,30	0,791		
220,96	0,791		
222,61	0,798		
224,23	0,791		
225,83	0,812		
227,40	0,798		
228,95	0,784		
230,48	0,798		
231,99	0,805		
233,46	0,812		
234,92	0,713		
236,35	0,791		
237,76	0,777		
239,14	0,734		
240,49	0,763		
241,83	0,755		
243,13	0,755		
244,41	0,777		
245,67	0,763		
246,90	0,770		
248,11	0,727		
249,29	0,755		
250,44	0,734		
251,57	0,748		
252,67	0,777		
253,75	0,755		
254,80	0,748		
255,83	0,791		
256,83	0,777		
257,81	0,791		
258,76	0,763		
259,68	0,763		
260,58	0,798		
261,45	0,755		
262,30	0,741		
263,12	0,734		
263,92	0,777		
264,69	0,734		
265,43	0,748		
266,15	0,748		
266,85	0,748		
267,52	0,755		
268,16	0,727		
268,78	0,791		
269,37	0,791		
269,93	0,770		
270,47	0,812		
270,99	0,798		
271,48	0,798		
271,94	0,812		
272,38	0,812		
272,80	0,805		
273,19	0,820		
273,55	0,798		
273,89	0,812		
274,20	0,805		
274,49	0,812		
274,76	0,805		
274,99	0,748		
275,21	0,777		
275,39	0,755		
275,56	0,741		
275,69	0,755		
275,81	0,763		
275,90	0,770		
275,96	0,784		
276,00	0,784		
276,01	0,755		
276,00	0,741		
275,96	0,777		
275,90	0,770		
275,81	0,784		
275,69	0,791		
275,56	0,777		
275,39	0,784		
275,21	0,791		
274,99	0,791		
274,76	0,770		
274,49	0,777		
274,20	0,798		
273,89	0,798		
273,55	0,805		
273,19	0,798		
272,80	0,805		
272,38	0,805		
271,94	0,777		
271,48	0,798		
270,99	0,798		
270,47	0,798		
269,93	0,784		
269,37	0,770		
268,78	0,827		
268,16	0,791		
267,52	0,827		
266,85	0,827		
266,15	0,827		
265,43	0,848		
264,69	0,841		
263,92	0,862		
263,12	0,848		
262,30	0,855		
261,45	0,869		
260,58	0,855		
259,68	0,862		
258,76	0,862		
257,81	0,869		
256,83	0,848		
255,83	0,862		
254,80	0,834		
253,75	0,827		
252,67	0,841		
251,57	0,855		
250,44	0,848		
249,29	0,820		
248,11	0,848		
246,90	0,862		
